"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=ReadWrite1"
"main", "5", "ReadWrite1.java:6", "Method Call", " caller=SYSTEM, target=ReadWrite1#main:1"
"main", "6", "ReadWrite1.java:4", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "ReadWrite1.java:4", "New Object", " object=java.lang.String[]:1"
"main", "9", "ReadWrite1.java:4", "Variable Write", " context=ReadWrite1#main:1, args=java.lang.String[]:1"
"main", "10", "ReadWrite1.java:6", "Line Step", " file=ReadWrite1.java, line=6"
"main", "11", "SYSTEM", "Type Load", " class=Database"
"main", "12", "ReadWrite1.java:6", "New Object", " object=Database:1"
"main", "13", "ReadWrite1.java:6", "Method Call", " caller=ReadWrite1#main:1, target=Database:1#Database:1"
"main", "14", "ReadWrite1.java:44", "Method Entered", " "
"main", "15", "ReadWrite1.java:43", "Line Step", " file=ReadWrite1.java, line=43"
"main", "16", "ReadWrite1.java:44", "Line Step", " file=ReadWrite1.java, line=44"
"main", "17", "ReadWrite1.java:44", "Field Write", " context=Database:1, data=0"
"main", "18", "ReadWrite1.java:45", "Line Step", " file=ReadWrite1.java, line=45"
"main", "19", "ReadWrite1.java:45", "Field Write", " context=Database:1, r=0"
"main", "20", "ReadWrite1.java:46", "Line Step", " file=ReadWrite1.java, line=46"
"main", "21", "ReadWrite1.java:46", "Field Write", " context=Database:1, w=0"
"main", "22", "ReadWrite1.java:43", "Line Step", " file=ReadWrite1.java, line=43"
"main", "23", "ReadWrite1.java:43", "Method Exit", " returner=Database:1#Database:1, value=<void>"
"main", "24", "ReadWrite1.java:6", "Method Returned", " "
"main", "25", "ReadWrite1.java:6", "Line Step", " file=ReadWrite1.java, line=6"
"main", "26", "ReadWrite1.java:6", "Variable Write", " context=ReadWrite1#main:1, d=Database:1"
"main", "27", "ReadWrite1.java:8", "Line Step", " file=ReadWrite1.java, line=8"
"main", "28", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "29", "SYSTEM", "Type Load", " class=Writer"
"main", "30", "ReadWrite1.java:8", "New Object", " object=Writer:1"
"main", "31", "ReadWrite1.java:8", "Method Call", " caller=ReadWrite1#main:1, target=Writer:1#Writer:1"
"main", "32", "ReadWrite1.java:96", "Method Entered", " "
"main", "33", "ReadWrite1.java:96", "Variable Write", " context=Writer:1#Writer:1, x=1"
"main", "34", "ReadWrite1.java:96", "Variable Write", " context=Writer:1#Writer:1, d=Database:1"
"main", "35", "ReadWrite1.java:96", "Line Step", " file=ReadWrite1.java, line=96"
"main", "36", "ReadWrite1.java:97", "Line Step", " file=ReadWrite1.java, line=97"
"main", "37", "ReadWrite1.java:97", "Field Write", " context=Writer:1, d=Database:1"
"main", "38", "ReadWrite1.java:98", "Line Step", " file=ReadWrite1.java, line=98"
"main", "39", "ReadWrite1.java:98", "Field Write", " context=Writer:1, x=1"
"main", "40", "ReadWrite1.java:99", "Line Step", " file=ReadWrite1.java, line=99"
"main", "41", "ReadWrite1.java:99", "Method Exit", " returner=Writer:1#Writer:1, value=<void>"
"main", "42", "ReadWrite1.java:8", "Method Returned", " "
"main", "43", "ReadWrite1.java:8", "Line Step", " file=ReadWrite1.java, line=8"
"main", "44", "ReadWrite1.java:8", "Variable Write", " context=ReadWrite1#main:1, w1=Writer:1"
"main", "45", "ReadWrite1.java:9", "Line Step", " file=ReadWrite1.java, line=9"
"main", "46", "ReadWrite1.java:9", "New Object", " object=Writer:2"
"main", "47", "ReadWrite1.java:9", "Method Call", " caller=ReadWrite1#main:1, target=Writer:2#Writer:2"
"main", "48", "ReadWrite1.java:96", "Method Entered", " "
"main", "49", "ReadWrite1.java:96", "Variable Write", " context=Writer:2#Writer:2, x=10"
"main", "50", "ReadWrite1.java:96", "Variable Write", " context=Writer:2#Writer:2, d=Database:1"
"main", "51", "ReadWrite1.java:96", "Line Step", " file=ReadWrite1.java, line=96"
"main", "52", "ReadWrite1.java:97", "Line Step", " file=ReadWrite1.java, line=97"
"main", "53", "ReadWrite1.java:97", "Field Write", " context=Writer:2, d=Database:1"
"main", "54", "ReadWrite1.java:98", "Line Step", " file=ReadWrite1.java, line=98"
"main", "55", "ReadWrite1.java:98", "Field Write", " context=Writer:2, x=10"
"main", "56", "ReadWrite1.java:99", "Line Step", " file=ReadWrite1.java, line=99"
"main", "57", "ReadWrite1.java:99", "Method Exit", " returner=Writer:2#Writer:2, value=<void>"
"main", "58", "ReadWrite1.java:9", "Method Returned", " "
"main", "59", "ReadWrite1.java:9", "Line Step", " file=ReadWrite1.java, line=9"
"main", "60", "ReadWrite1.java:9", "Variable Write", " context=ReadWrite1#main:1, w2=Writer:2"
"main", "61", "ReadWrite1.java:10", "Line Step", " file=ReadWrite1.java, line=10"
"main", "62", "ReadWrite1.java:10", "New Object", " object=Writer:3"
"main", "63", "ReadWrite1.java:10", "Method Call", " caller=ReadWrite1#main:1, target=Writer:3#Writer:3"
"main", "64", "ReadWrite1.java:96", "Method Entered", " "
"main", "65", "ReadWrite1.java:96", "Variable Write", " context=Writer:3#Writer:3, x=100"
"main", "66", "ReadWrite1.java:96", "Variable Write", " context=Writer:3#Writer:3, d=Database:1"
"main", "67", "ReadWrite1.java:96", "Line Step", " file=ReadWrite1.java, line=96"
"main", "68", "ReadWrite1.java:97", "Line Step", " file=ReadWrite1.java, line=97"
"main", "69", "ReadWrite1.java:97", "Field Write", " context=Writer:3, d=Database:1"
"main", "70", "ReadWrite1.java:98", "Line Step", " file=ReadWrite1.java, line=98"
"main", "71", "ReadWrite1.java:98", "Field Write", " context=Writer:3, x=100"
"main", "72", "ReadWrite1.java:99", "Line Step", " file=ReadWrite1.java, line=99"
"main", "73", "ReadWrite1.java:99", "Method Exit", " returner=Writer:3#Writer:3, value=<void>"
"main", "74", "ReadWrite1.java:10", "Method Returned", " "
"main", "75", "ReadWrite1.java:10", "Line Step", " file=ReadWrite1.java, line=10"
"main", "76", "ReadWrite1.java:10", "Variable Write", " context=ReadWrite1#main:1, w3=Writer:3"
"main", "77", "ReadWrite1.java:11", "Line Step", " file=ReadWrite1.java, line=11"
"main", "78", "ReadWrite1.java:11", "New Object", " object=Writer:4"
"main", "79", "ReadWrite1.java:11", "Method Call", " caller=ReadWrite1#main:1, target=Writer:4#Writer:4"
"main", "80", "ReadWrite1.java:96", "Method Entered", " "
"main", "81", "ReadWrite1.java:96", "Variable Write", " context=Writer:4#Writer:4, x=1000"
"main", "82", "ReadWrite1.java:96", "Variable Write", " context=Writer:4#Writer:4, d=Database:1"
"main", "83", "ReadWrite1.java:96", "Line Step", " file=ReadWrite1.java, line=96"
"main", "84", "ReadWrite1.java:97", "Line Step", " file=ReadWrite1.java, line=97"
"main", "85", "ReadWrite1.java:97", "Field Write", " context=Writer:4, d=Database:1"
"main", "86", "ReadWrite1.java:98", "Line Step", " file=ReadWrite1.java, line=98"
"main", "87", "ReadWrite1.java:98", "Field Write", " context=Writer:4, x=1000"
"main", "88", "ReadWrite1.java:99", "Line Step", " file=ReadWrite1.java, line=99"
"main", "89", "ReadWrite1.java:99", "Method Exit", " returner=Writer:4#Writer:4, value=<void>"
"main", "90", "ReadWrite1.java:11", "Method Returned", " "
"main", "91", "ReadWrite1.java:11", "Line Step", " file=ReadWrite1.java, line=11"
"main", "92", "ReadWrite1.java:11", "Variable Write", " context=ReadWrite1#main:1, w4=Writer:4"
"main", "93", "ReadWrite1.java:12", "Line Step", " file=ReadWrite1.java, line=12"
"main", "94", "ReadWrite1.java:12", "New Object", " object=Writer:5"
"main", "95", "ReadWrite1.java:12", "Method Call", " caller=ReadWrite1#main:1, target=Writer:5#Writer:5"
"main", "96", "ReadWrite1.java:96", "Method Entered", " "
"main", "97", "ReadWrite1.java:96", "Variable Write", " context=Writer:5#Writer:5, x=10000"
"main", "98", "ReadWrite1.java:96", "Variable Write", " context=Writer:5#Writer:5, d=Database:1"
"main", "99", "ReadWrite1.java:96", "Line Step", " file=ReadWrite1.java, line=96"
"main", "100", "ReadWrite1.java:97", "Line Step", " file=ReadWrite1.java, line=97"
"main", "101", "ReadWrite1.java:97", "Field Write", " context=Writer:5, d=Database:1"
"main", "102", "ReadWrite1.java:98", "Line Step", " file=ReadWrite1.java, line=98"
"main", "103", "ReadWrite1.java:98", "Field Write", " context=Writer:5, x=10000"
"main", "104", "ReadWrite1.java:99", "Line Step", " file=ReadWrite1.java, line=99"
"main", "105", "ReadWrite1.java:99", "Method Exit", " returner=Writer:5#Writer:5, value=<void>"
"main", "106", "ReadWrite1.java:12", "Method Returned", " "
"main", "107", "ReadWrite1.java:12", "Line Step", " file=ReadWrite1.java, line=12"
"main", "108", "ReadWrite1.java:12", "Variable Write", " context=ReadWrite1#main:1, w5=Writer:5"
"main", "109", "ReadWrite1.java:13", "Line Step", " file=ReadWrite1.java, line=13"
"main", "110", "SYSTEM", "Type Load", " class=Reader"
"main", "111", "ReadWrite1.java:13", "New Object", " object=Reader:1"
