"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "112", "ReadWrite1.java:13", "Method Call", " caller=ReadWrite1#main:1, target=Reader:1#Reader:1"
"main", "113", "ReadWrite1.java:76", "Method Entered", " "
"main", "114", "ReadWrite1.java:76", "Variable Write", " context=Reader:1#Reader:1, d=Database:1"
"main", "115", "ReadWrite1.java:76", "Line Step", " file=ReadWrite1.java, line=76"
"main", "116", "ReadWrite1.java:77", "Line Step", " file=ReadWrite1.java, line=77"
"main", "117", "ReadWrite1.java:77", "Field Write", " context=Reader:1, d=Database:1"
"main", "118", "ReadWrite1.java:78", "Line Step", " file=ReadWrite1.java, line=78"
"main", "119", "ReadWrite1.java:78", "Method Exit", " returner=Reader:1#Reader:1, value=<void>"
"main", "120", "ReadWrite1.java:13", "Method Returned", " "
"main", "121", "ReadWrite1.java:13", "Line Step", " file=ReadWrite1.java, line=13"
"main", "122", "ReadWrite1.java:13", "Variable Write", " context=ReadWrite1#main:1, r1=Reader:1"
"main", "123", "ReadWrite1.java:14", "Line Step", " file=ReadWrite1.java, line=14"
"main", "124", "ReadWrite1.java:14", "New Object", " object=Reader:2"
"main", "125", "ReadWrite1.java:14", "Method Call", " caller=ReadWrite1#main:1, target=Reader:2#Reader:2"
"main", "126", "ReadWrite1.java:76", "Method Entered", " "
"main", "127", "ReadWrite1.java:76", "Variable Write", " context=Reader:2#Reader:2, d=Database:1"
"main", "128", "ReadWrite1.java:76", "Line Step", " file=ReadWrite1.java, line=76"
"main", "129", "ReadWrite1.java:77", "Line Step", " file=ReadWrite1.java, line=77"
"main", "130", "ReadWrite1.java:77", "Field Write", " context=Reader:2, d=Database:1"
"main", "131", "ReadWrite1.java:78", "Line Step", " file=ReadWrite1.java, line=78"
"main", "132", "ReadWrite1.java:78", "Method Exit", " returner=Reader:2#Reader:2, value=<void>"
"main", "133", "ReadWrite1.java:14", "Method Returned", " "
"main", "134", "ReadWrite1.java:14", "Line Step", " file=ReadWrite1.java, line=14"
"main", "135", "ReadWrite1.java:14", "Variable Write", " context=ReadWrite1#main:1, r2=Reader:2"
"main", "136", "ReadWrite1.java:15", "Line Step", " file=ReadWrite1.java, line=15"
"main", "137", "ReadWrite1.java:15", "New Object", " object=Reader:3"
"main", "138", "ReadWrite1.java:15", "Method Call", " caller=ReadWrite1#main:1, target=Reader:3#Reader:3"
"main", "139", "ReadWrite1.java:76", "Method Entered", " "
"main", "140", "ReadWrite1.java:76", "Variable Write", " context=Reader:3#Reader:3, d=Database:1"
"main", "141", "ReadWrite1.java:76", "Line Step", " file=ReadWrite1.java, line=76"
"main", "142", "ReadWrite1.java:77", "Line Step", " file=ReadWrite1.java, line=77"
"main", "143", "ReadWrite1.java:77", "Field Write", " context=Reader:3, d=Database:1"
"main", "144", "ReadWrite1.java:78", "Line Step", " file=ReadWrite1.java, line=78"
"main", "145", "ReadWrite1.java:78", "Method Exit", " returner=Reader:3#Reader:3, value=<void>"
"main", "146", "ReadWrite1.java:15", "Method Returned", " "
"main", "147", "ReadWrite1.java:15", "Line Step", " file=ReadWrite1.java, line=15"
"main", "148", "ReadWrite1.java:15", "Variable Write", " context=ReadWrite1#main:1, r3=Reader:3"
"main", "149", "ReadWrite1.java:16", "Line Step", " file=ReadWrite1.java, line=16"
"main", "150", "ReadWrite1.java:16", "New Object", " object=Reader:4"
"main", "151", "ReadWrite1.java:16", "Method Call", " caller=ReadWrite1#main:1, target=Reader:4#Reader:4"
"main", "152", "ReadWrite1.java:76", "Method Entered", " "
"main", "153", "ReadWrite1.java:76", "Variable Write", " context=Reader:4#Reader:4, d=Database:1"
"main", "154", "ReadWrite1.java:76", "Line Step", " file=ReadWrite1.java, line=76"
"main", "155", "ReadWrite1.java:77", "Line Step", " file=ReadWrite1.java, line=77"
"main", "156", "ReadWrite1.java:77", "Field Write", " context=Reader:4, d=Database:1"
"main", "157", "ReadWrite1.java:78", "Line Step", " file=ReadWrite1.java, line=78"
"main", "158", "ReadWrite1.java:78", "Method Exit", " returner=Reader:4#Reader:4, value=<void>"
"main", "159", "ReadWrite1.java:16", "Method Returned", " "
"main", "160", "ReadWrite1.java:16", "Line Step", " file=ReadWrite1.java, line=16"
"main", "161", "ReadWrite1.java:16", "Variable Write", " context=ReadWrite1#main:1, r4=Reader:4"
"main", "162", "ReadWrite1.java:17", "Line Step", " file=ReadWrite1.java, line=17"
"main", "163", "ReadWrite1.java:17", "New Object", " object=Reader:5"
"main", "164", "ReadWrite1.java:17", "Method Call", " caller=ReadWrite1#main:1, target=Reader:5#Reader:5"
"main", "165", "ReadWrite1.java:76", "Method Entered", " "
"main", "166", "ReadWrite1.java:76", "Variable Write", " context=Reader:5#Reader:5, d=Database:1"
"main", "167", "ReadWrite1.java:76", "Line Step", " file=ReadWrite1.java, line=76"
"main", "168", "ReadWrite1.java:77", "Line Step", " file=ReadWrite1.java, line=77"
"main", "169", "ReadWrite1.java:77", "Field Write", " context=Reader:5, d=Database:1"
"main", "170", "ReadWrite1.java:78", "Line Step", " file=ReadWrite1.java, line=78"
"main", "171", "ReadWrite1.java:78", "Method Exit", " returner=Reader:5#Reader:5, value=<void>"
"main", "172", "ReadWrite1.java:17", "Method Returned", " "
"main", "173", "ReadWrite1.java:17", "Line Step", " file=ReadWrite1.java, line=17"
"main", "174", "ReadWrite1.java:17", "Variable Write", " context=ReadWrite1#main:1, r5=Reader:5"
"main", "175", "ReadWrite1.java:18", "Line Step", " file=ReadWrite1.java, line=18"
"main", "176", "ReadWrite1.java:18", "New Object", " object=Reader:6"
"main", "177", "ReadWrite1.java:18", "Method Call", " caller=ReadWrite1#main:1, target=Reader:6#Reader:6"
"main", "178", "ReadWrite1.java:76", "Method Entered", " "
"main", "179", "ReadWrite1.java:76", "Variable Write", " context=Reader:6#Reader:6, d=Database:1"
"main", "180", "ReadWrite1.java:76", "Line Step", " file=ReadWrite1.java, line=76"
"main", "181", "ReadWrite1.java:77", "Line Step", " file=ReadWrite1.java, line=77"
"main", "182", "ReadWrite1.java:77", "Field Write", " context=Reader:6, d=Database:1"
"main", "183", "ReadWrite1.java:78", "Line Step", " file=ReadWrite1.java, line=78"
"main", "184", "ReadWrite1.java:78", "Method Exit", " returner=Reader:6#Reader:6, value=<void>"
"main", "185", "ReadWrite1.java:18", "Method Returned", " "
"main", "186", "ReadWrite1.java:18", "Line Step", " file=ReadWrite1.java, line=18"
"main", "187", "ReadWrite1.java:18", "Variable Write", " context=ReadWrite1#main:1, r6=Reader:6"
"main", "188", "ReadWrite1.java:19", "Line Step", " file=ReadWrite1.java, line=19"
"main", "189", "ReadWrite1.java:19", "New Object", " object=Reader:7"
"main", "190", "ReadWrite1.java:19", "Method Call", " caller=ReadWrite1#main:1, target=Reader:7#Reader:7"
"main", "191", "ReadWrite1.java:76", "Method Entered", " "
"main", "192", "ReadWrite1.java:76", "Variable Write", " context=Reader:7#Reader:7, d=Database:1"
"main", "193", "ReadWrite1.java:76", "Line Step", " file=ReadWrite1.java, line=76"
"main", "194", "ReadWrite1.java:77", "Line Step", " file=ReadWrite1.java, line=77"
"main", "195", "ReadWrite1.java:77", "Field Write", " context=Reader:7, d=Database:1"
"main", "196", "ReadWrite1.java:78", "Line Step", " file=ReadWrite1.java, line=78"
"main", "197", "ReadWrite1.java:78", "Method Exit", " returner=Reader:7#Reader:7, value=<void>"
"main", "198", "ReadWrite1.java:19", "Method Returned", " "
"main", "199", "ReadWrite1.java:19", "Line Step", " file=ReadWrite1.java, line=19"
"main", "200", "ReadWrite1.java:19", "Variable Write", " context=ReadWrite1#main:1, r7=Reader:7"
"main", "201", "ReadWrite1.java:20", "Line Step", " file=ReadWrite1.java, line=20"
"main", "202", "ReadWrite1.java:20", "New Object", " object=Reader:8"
"main", "203", "ReadWrite1.java:20", "Method Call", " caller=ReadWrite1#main:1, target=Reader:8#Reader:8"
"main", "204", "ReadWrite1.java:76", "Method Entered", " "
"main", "205", "ReadWrite1.java:76", "Variable Write", " context=Reader:8#Reader:8, d=Database:1"
"main", "206", "ReadWrite1.java:76", "Line Step", " file=ReadWrite1.java, line=76"
"main", "207", "ReadWrite1.java:77", "Line Step", " file=ReadWrite1.java, line=77"
"main", "208", "ReadWrite1.java:77", "Field Write", " context=Reader:8, d=Database:1"
"main", "209", "ReadWrite1.java:78", "Line Step", " file=ReadWrite1.java, line=78"
"main", "210", "ReadWrite1.java:78", "Method Exit", " returner=Reader:8#Reader:8, value=<void>"
"main", "211", "ReadWrite1.java:20", "Method Returned", " "
"main", "212", "ReadWrite1.java:20", "Line Step", " file=ReadWrite1.java, line=20"
"main", "213", "ReadWrite1.java:20", "Variable Write", " context=ReadWrite1#main:1, r8=Reader:8"
"main", "214", "ReadWrite1.java:21", "Line Step", " file=ReadWrite1.java, line=21"
"main", "215", "ReadWrite1.java:21", "New Object", " object=Reader:9"
"main", "216", "ReadWrite1.java:21", "Method Call", " caller=ReadWrite1#main:1, target=Reader:9#Reader:9"
"main", "217", "ReadWrite1.java:76", "Method Entered", " "
"main", "218", "ReadWrite1.java:76", "Variable Write", " context=Reader:9#Reader:9, d=Database:1"
"main", "219", "ReadWrite1.java:76", "Line Step", " file=ReadWrite1.java, line=76"
"main", "220", "ReadWrite1.java:77", "Line Step", " file=ReadWrite1.java, line=77"
"main", "221", "ReadWrite1.java:77", "Field Write", " context=Reader:9, d=Database:1"
"main", "222", "ReadWrite1.java:78", "Line Step", " file=ReadWrite1.java, line=78"
"main", "223", "ReadWrite1.java:78", "Method Exit", " returner=Reader:9#Reader:9, value=<void>"
"main", "224", "ReadWrite1.java:21", "Method Returned", " "
"main", "225", "ReadWrite1.java:21", "Line Step", " file=ReadWrite1.java, line=21"
"main", "226", "ReadWrite1.java:21", "Variable Write", " context=ReadWrite1#main:1, r9=Reader:9"
"main", "227", "ReadWrite1.java:22", "Line Step", " file=ReadWrite1.java, line=22"
"main", "228", "ReadWrite1.java:22", "New Object", " object=Reader:10"
"main", "229", "ReadWrite1.java:22", "Method Call", " caller=ReadWrite1#main:1, target=Reader:10#Reader:10"
"main", "230", "ReadWrite1.java:76", "Method Entered", " "
"main", "231", "ReadWrite1.java:76", "Variable Write", " context=Reader:10#Reader:10, d=Database:1"
"main", "232", "ReadWrite1.java:76", "Line Step", " file=ReadWrite1.java, line=76"
"main", "233", "ReadWrite1.java:77", "Line Step", " file=ReadWrite1.java, line=77"
"main", "234", "ReadWrite1.java:77", "Field Write", " context=Reader:10, d=Database:1"
"main", "235", "ReadWrite1.java:78", "Line Step", " file=ReadWrite1.java, line=78"
"main", "236", "ReadWrite1.java:78", "Method Exit", " returner=Reader:10#Reader:10, value=<void>"
"main", "237", "ReadWrite1.java:22", "Method Returned", " "
"main", "238", "ReadWrite1.java:22", "Line Step", " file=ReadWrite1.java, line=22"
"main", "239", "ReadWrite1.java:22", "Variable Write", " context=ReadWrite1#main:1, r10=Reader:10"
"main", "240", "ReadWrite1.java:24", "Line Step", " file=ReadWrite1.java, line=24"
"Thread-0", "241", "SYSTEM", "Thread Start", " Thread-0 (29)"
"Thread-0", "242", "ReadWrite1.java:102", "Method Call", " caller=SYSTEM, target=Writer:1#run:1"
"Thread-0", "243", "ReadWrite1.java:101", "Method Entered", " "
"Thread-0", "244", "ReadWrite1.java:101", "Variable Write", " context=Writer:1#run:1, i=0"
"Thread-0", "245", "ReadWrite1.java:103", "Line Step", " file=ReadWrite1.java, line=103"
"main", "246", "ReadWrite1.java:25", "Line Step", " file=ReadWrite1.java, line=25"
"Thread-5", "247", "SYSTEM", "Thread Start", " Thread-5 (36)"
"Thread-5", "248", "ReadWrite1.java:82", "Method Call", " caller=SYSTEM, target=Reader:1#run:1"
"Thread-5", "249", "ReadWrite1.java:80", "Method Entered", " "
"Thread-5", "250", "ReadWrite1.java:80", "Variable Write", " context=Reader:1#run:1, i=0"
"Thread-5", "251", "ReadWrite1.java:83", "Line Step", " file=ReadWrite1.java, line=83"
"main", "252", "ReadWrite1.java:26", "Line Step", " file=ReadWrite1.java, line=26"
"Thread-6", "253", "SYSTEM", "Thread Start", " Thread-6 (37)"
"Thread-6", "254", "ReadWrite1.java:82", "Method Call", " caller=SYSTEM, target=Reader:2#run:2"
"Thread-6", "255", "ReadWrite1.java:80", "Method Entered", " "
"Thread-6", "256", "ReadWrite1.java:80", "Variable Write", " context=Reader:2#run:2, i=0"
"Thread-6", "257", "ReadWrite1.java:83", "Line Step", " file=ReadWrite1.java, line=83"
"main", "258", "ReadWrite1.java:27", "Line Step", " file=ReadWrite1.java, line=27"
"Thread-1", "259", "SYSTEM", "Thread Start", " Thread-1 (30)"
"Thread-1", "260", "ReadWrite1.java:102", "Method Call", " caller=SYSTEM, target=Writer:2#run:2"
"Thread-1", "261", "ReadWrite1.java:101", "Method Entered", " "
"Thread-1", "262", "ReadWrite1.java:101", "Variable Write", " context=Writer:2#run:2, i=0"
"Thread-1", "263", "ReadWrite1.java:103", "Line Step", " file=ReadWrite1.java, line=103"
"main", "264", "ReadWrite1.java:28", "Line Step", " file=ReadWrite1.java, line=28"
"Thread-7", "265", "SYSTEM", "Thread Start", " Thread-7 (38)"
"Thread-7", "266", "ReadWrite1.java:82", "Method Call", " caller=SYSTEM, target=Reader:3#run:3"
"Thread-7", "267", "ReadWrite1.java:80", "Method Entered", " "
"Thread-7", "268", "ReadWrite1.java:80", "Variable Write", " context=Reader:3#run:3, i=0"
"Thread-7", "269", "ReadWrite1.java:83", "Line Step", " file=ReadWrite1.java, line=83"
"main", "270", "ReadWrite1.java:29", "Line Step", " file=ReadWrite1.java, line=29"
"Thread-8", "271", "SYSTEM", "Thread Start", " Thread-8 (39)"
"Thread-8", "272", "ReadWrite1.java:82", "Method Call", " caller=SYSTEM, target=Reader:4#run:4"
"Thread-8", "273", "ReadWrite1.java:80", "Method Entered", " "
"Thread-8", "274", "ReadWrite1.java:80", "Variable Write", " context=Reader:4#run:4, i=0"
"Thread-8", "275", "ReadWrite1.java:83", "Line Step", " file=ReadWrite1.java, line=83"
"main", "276", "ReadWrite1.java:30", "Line Step", " file=ReadWrite1.java, line=30"
"Thread-2", "277", "SYSTEM", "Thread Start", " Thread-2 (31)"
"Thread-2", "278", "ReadWrite1.java:102", "Method Call", " caller=SYSTEM, target=Writer:3#run:3"
"Thread-2", "279", "ReadWrite1.java:101", "Method Entered", " "
"Thread-2", "280", "ReadWrite1.java:101", "Variable Write", " context=Writer:3#run:3, i=0"
"main", "281", "ReadWrite1.java:31", "Line Step", " file=ReadWrite1.java, line=31"
"Thread-2", "282", "ReadWrite1.java:103", "Line Step", " file=ReadWrite1.java, line=103"
"Thread-9", "283", "SYSTEM", "Thread Start", " Thread-9 (40)"
"Thread-9", "284", "ReadWrite1.java:82", "Method Call", " caller=SYSTEM, target=Reader:5#run:5"
"Thread-9", "285", "ReadWrite1.java:80", "Method Entered", " "
"Thread-0", "286", "ReadWrite1.java:105", "Line Step", " file=ReadWrite1.java, line=105"
"Thread-9", "287", "ReadWrite1.java:80", "Variable Write", " context=Reader:5#run:5, i=0"
"Thread-0", "288", "ReadWrite1.java:105", "Field Read", " context=Writer:1, d"
"Thread-9", "289", "ReadWrite1.java:83", "Line Step", " file=ReadWrite1.java, line=83"
"main", "290", "ReadWrite1.java:32", "Line Step", " file=ReadWrite1.java, line=32"
"Thread-0", "291", "ReadWrite1.java:105", "Field Read", " context=Writer:1, x"
"Thread-10", "292", "SYSTEM", "Thread Start", " Thread-10 (41)"
"Thread-10", "293", "ReadWrite1.java:82", "Method Call", " caller=SYSTEM, target=Reader:6#run:6"
"Thread-10", "294", "ReadWrite1.java:80", "Method Entered", " "
"Thread-0", "295", "ReadWrite1.java:105", "Method Call", " caller=Writer:1#run:1, target=Database:1#write:1"
"Thread-0", "296", "ReadWrite1.java:60", "Method Entered", " "
"Thread-0", "297", "ReadWrite1.java:60", "Variable Write", " context=Database:1#write:1, x=1"
"Thread-10", "298", "ReadWrite1.java:80", "Variable Write", " context=Reader:6#run:6, i=0"
"Thread-10", "299", "ReadWrite1.java:83", "Line Step", " file=ReadWrite1.java, line=83"
"Thread-0", "300", "ReadWrite1.java:61", "Line Step", " file=ReadWrite1.java, line=61"
"Thread-0", "301", "ReadWrite1.java:61", "Field Read", " context=Database:1, r"
"main", "302", "ReadWrite1.java:33", "Line Step", " file=ReadWrite1.java, line=33"
"Thread-0", "303", "ReadWrite1.java:61", "Field Read", " context=Database:1, w"
"Thread-3", "304", "SYSTEM", "Thread Start", " Thread-3 (32)"
"Thread-3", "305", "ReadWrite1.java:102", "Method Call", " caller=SYSTEM, target=Writer:4#run:4"
"Thread-3", "306", "ReadWrite1.java:101", "Method Entered", " "
"Thread-0", "307", "ReadWrite1.java:64", "Line Step", " file=ReadWrite1.java, line=64"
"Thread-0", "308", "ReadWrite1.java:64", "Field Write", " context=Database:1, w=1"
"Thread-3", "309", "ReadWrite1.java:101", "Variable Write", " context=Writer:4#run:4, i=0"
"Thread-3", "310", "ReadWrite1.java:103", "Line Step", " file=ReadWrite1.java, line=103"
"Thread-1", "311", "ReadWrite1.java:105", "Line Step", " file=ReadWrite1.java, line=105"
"Thread-0", "312", "ReadWrite1.java:65", "Line Step", " file=ReadWrite1.java, line=65"
"Thread-1", "313", "ReadWrite1.java:105", "Field Read", " context=Writer:2, d"
"main", "314", "ReadWrite1.java:34", "Line Step", " file=ReadWrite1.java, line=34"
"Thread-1", "315", "ReadWrite1.java:105", "Field Read", " context=Writer:2, x"
"Thread-11", "316", "SYSTEM", "Thread Start", " Thread-11 (42)"
"Thread-11", "317", "ReadWrite1.java:82", "Method Call", " caller=SYSTEM, target=Reader:7#run:7"
"Thread-11", "318", "ReadWrite1.java:80", "Method Entered", " "
"Thread-10", "319", "ReadWrite1.java:86", "Line Step", " file=ReadWrite1.java, line=86"
"Thread-11", "320", "ReadWrite1.java:80", "Variable Write", " context=Reader:7#run:7, i=0"
"Thread-11", "321", "ReadWrite1.java:83", "Line Step", " file=ReadWrite1.java, line=83"
"Thread-10", "322", "ReadWrite1.java:86", "Field Read", " context=Reader:6, d"
"main", "323", "ReadWrite1.java:35", "Line Step", " file=ReadWrite1.java, line=35"
"Thread-12", "324", "SYSTEM", "Thread Start", " Thread-12 (43)"
"Thread-12", "325", "ReadWrite1.java:82", "Method Call", " caller=SYSTEM, target=Reader:8#run:8"
"Thread-12", "326", "ReadWrite1.java:80", "Method Entered", " "
"main", "327", "ReadWrite1.java:36", "Line Step", " file=ReadWrite1.java, line=36"
"Thread-12", "328", "ReadWrite1.java:80", "Variable Write", " context=Reader:8#run:8, i=0"
"Thread-12", "329", "ReadWrite1.java:83", "Line Step", " file=ReadWrite1.java, line=83"
